8,SGS24-256-VIO,Samsung Galaxy S24 256GB Violet,"50MP camera, Exynos 2400, AI features",Mobile Phones,Premium Smartphones,Samsung,Samsung,Samsung India Electronics,68000.00,89999.00,0.17,5.79x2.78x0.30 in,Cobalt Violet,Aluminum/Glass,12,15,68,t,f,2024-01-17,,2024-01-17 00:00:00,2024-01-17 00:00:00
9,SGA54-128-BLK,Samsung Galaxy A54 5G 128GB Black,"50MP OIS camera, 120Hz Super AMOLED",Mobile Phones,Mid-Range Smartphones,Samsung,Samsung,Samsung India Electronics,32000.00,40999.00,0.20,6.22x2.98x0.32 in,Awesome Black,Glass/Plastic,12,25,125,t,f,2023-03-14,,2023-03-14 00:00:00,2024-01-08 00:00:00
10,SGA54-256-VIO,Samsung Galaxy A54 5G 256GB Violet,"50MP OIS camera, 256GB storage",Mobile Phones,Mid-Range Smartphones,Samsung,Samsung,Samsung India Electronics,36000.00,45999.00,0.20,6.22x2.98x0.32 in,Awesome Violet,Glass/Plastic,12,20,98,t,f,2023-03-14,,2023-03-14 00:00:00,2024-01-08 00:00:00
11,SGA34-128-LIM,Samsung Galaxy A34 5G 128GB Lime,"48MP camera, 120Hz display, 5000mAh",Mobile Phones,Mid-Range Smartphones,Samsung,Samsung,Samsung India Electronics,24000.00,30999.00,0.20,6.21x3.06x0.33 in,Awesome Lime,Glass/Plastic,12,30,145,t,f,2023-03-14,,2023-03-14 00:00:00,2024-01-08 00:00:00
12,SGA34-256-SLV,Samsung Galaxy A34 5G 256GB Silver,"48MP camera, 256GB storage",Mobile Phones,Mid-Range Smartphones,Samsung,Samsung,Samsung India Electronics,28000.00,35999.00,0.20,6.21x3.06x0.33 in,Awesome Silver,Glass/Plastic,12,28,132,t,f,2023-03-14,,2023-03-14 00:00:00,2024-01-08 00:00:00
13,OPN3-128-GRN,OnePlus Nord 3 5G 128GB Green,"MediaTek 9000, 50MP Sony IMX890, 80W charging",Mobile Phones,Mid-Range Smartphones,OnePlus,OnePlus,OnePlus Technology India,26000.00,33999.00,0.19,6.39x2.95x0.32 in,Misty Green,Glass/Plastic,12,25,115,t,f,2023-07-05,,2023-07-05 00:00:00,2024-01-08 00:00:00
14,OPN3-256-BLK,OnePlus Nord 3 5G 256GB Black,"MediaTek 9000, 50MP camera, 256GB",Mobile Phones,Mid-Range Smartphones,OnePlus,OnePlus,OnePlus Technology India,30000.00,37999.00,0.19,6.39x2.95x0.32 in,Tempest Gray,Glass/Plastic,12,22,102,t,f,2023-07-05,,2023-07-05 00:00:00,2024-01-08 00:00:00
15,OPCE3-128-AQU,OnePlus Nord CE 3 5G 128GB Aqua,"Snapdragon 782G, 50MP camera, 80W fast charge",Mobile Phones,Mid-Range Smartphones,OnePlus,OnePlus,OnePlus Technology India,22000.00,26999.00,0.18,6.42x2.95x0.31 in,Aqua Surge,Plastic,12,32,155,t,f,2023-07-06,,2023-07-06 00:00:00,2024-01-08 00:00:00
16,OPCE3-256-GRY,OnePlus Nord CE 3 5G 256GB Gray,"Snapdragon 782G, 256GB storage",Mobile Phones,Mid-Range Smartphones,OnePlus,OnePlus,OnePlus Technology India,26000.00,29999.00,0.18,6.42x2.95x0.31 in,Gray Shimmer,Plastic,12,30,142,t,f,2023-07-06,,2023-07-06 00:00:00,2024-01-08 00:00:00
17,VIV29P-128-BLK,Vivo V29 Pro 5G 128GB Black,"MediaTek 8200, 50MP Aura Light camera",Mobile Phones,Mid-Range Smartphones,Vivo,Vivo,Vivo India Pvt Ltd,32000.00,39999.00,0.19,6.30x2.92x0.31 in,Space Black,Glass,12,20,95,t,f,2023-10-04,,2023-10-04 00:00:00,2024-01-08 00:00:00
18,VIV29P-256-PUR,Vivo V29 Pro 5G 256GB Purple,"MediaTek 8200, Color changing back",Mobile Phones,Mid-Range Smartphones,Vivo,Vivo,Vivo India Pvt Ltd,36000.00,44999.00,0.19,6.30x2.92x0.31 in,Lovely Purple,Glass,12,18,82,t,f,2023-10-04,,2023-10-04 00:00:00,2024-01-08 00:00:00
19,VIV29-128-BLU,Vivo V29 5G 128GB Blue,"50MP Aura Light camera, Snapdragon 778G",Mobile Phones,Mid-Range Smartphones,Vivo,Vivo,Vivo India Pvt Ltd,26000.00,32999.00,0.19,6.30x2.92x0.30 in,Himalayan Blue,Glass,12,25,118,t,f,2023-10-04,,2023-10-04 00:00:00,2024-01-08 00:00:00
